Record_ID,Year,Quarter,State,Region,District,Rural_Urban,Population,Branches,Banking_Outlets,ATMs,BC_Outlets,Total_Accounts,Active_Accounts,Women_Accounts,Jan_Dhan_Accounts,Total_Deposits_Lakh,Savings_Deposits_Lakh,Current_Deposits_Lakh,Term_Deposits_Lakh,Total_Loans_Lakh,Agricultural_Loans_Lakh,MSME_Loans_Lakh,Personal_Loans_Lakh,Digital_Transactions,UPI_Transactions,Mobile_Banking_Users,Internet_Banking_Users,Agricultural_Beneficiaries,SHG_Accounts,KCC_Accounts,Active_Ratio,Women_Ratio,JanDhan_Ratio,Mobile_Banking_Ratio,Internet_Banking_Ratio,UPI_Share_of_Digital,Agri_Loan_Share,MSME_Loan_Share,Personal_Loan_Share,Savings_Deposit_Share,Term_Deposit_Share,Accounts_per_Branch,Population_per_Branch,Population_per_Outlet,Deposits_per_Account,Loans_per_Account,Year_Quarter
11,2023,Q3,Maharashtra,West,Amravati,Urban,1687632,37,60,32,58,1024009,783502,568811,384578,173730.6,82959.59,18999.04,71771.97,141953.4,72683.36,39944.28,29325.75,10101048,7267588,358407.0,174147.0,124881,61541.0,92966,0.7651319470824963,0.5554746100864348,0.3755611522945599,0.35000375973258047,0.17006393498494643,0.7194885124791012,0.5120226778647078,0.2813900899872775,0.2065871617023615,0.4775185833698841,0.4131222133579231,27675.91891891892,45611.67567567567,28127.2,0.16965729793390488,0.1386251488024031,2023-Q3
12,2023,Q4,Maharashtra,West,Amravati,Urban,1687632,41,74,31,32,1313159,827373,621281,438536,149355.68,63458.25,12506.27,73391.16,122689.45,51779.63,21812.77,49097.05,8221169,5482427,294365.0,226699.0,67709,36222.0,43780,0.6300630769008171,0.4731194013824678,0.3339549894567223,0.2241655427865171,0.1726363677208929,0.6668670842309652,0.4220381622054708,0.17778847325503538,0.40017336453949387,0.424880058127016,0.49138512843970855,32028.268292682926,41161.756097560974,22805.837837837837,0.11373769665364208,0.09343076504825386,2023-Q4
13,2024,Q1,Maharashtra,West,Amravati,Rural,1707409,27,62,22,26,1230738,856388,575732,291039,105179.09,58243.64,15734.52,31200.93,72042.89,27711.93,13104.69,31226.26,12471873,8456668,244124.0,196836.0,88437,89527.0,63941,0.6958329067600091,0.467794120275802,0.23647518805789697,0.19835578327800069,0.1599333083076983,0.6780591816481775,0.3846587775698615,0.18190122578369636,0.4334398578402393,0.5537568351275904,0.296645749644725,45582.88888888889,63237.37037037037,27538.854838709678,0.08546017917704661,0.05853633348446217,2024-Q1
14,2024,Q2,Maharashtra,West,Amravati,Rural,1707409,26,53,20,23,1005923,837126,385146,245822,75325.83,41946.97,11326.43,22052.43,53215.99,19666.87,12177.21,21371.91,9854955,5908552,287220.0,129453.0,122849,57090.0,57341,0.8321968977744817,0.38287821234826125,0.24437456942529398,0.2855288128415396,0.1286907646012667,0.5995513931824143,0.36956692903768207,0.2288261479303495,0.40160692303196843,0.5568736514420086,0.29276053114847855,38689.346153846156,65669.57692307692,32215.264150943396,0.07488230212451649,0.05290264761815765,2024-Q2
15,2024,Q3,Maharashtra,West,Amravati,Rural,1707409,24,53,21,20,868820,694949,334758,298016,171218.04,82545.45,24711.7,63960.9,120062.11,55123.32,35034.73,29904.06,12139106,6539789,222652.0,216989.0,66865,26098.0,30540,0.7998768444556985,0.3853019037314979,0.343012361593886,0.2562694228954214,0.24975138693860638,0.5387372842777713,0.45912336539812604,0.2918050499029211,0.2490715846989529,0.482107200853368,0.37356402397784716,36200.833333333336,71142.04166666667,32215.264150943396,0.19706963467691813,0.13818985520591145,2024-Q3
16,2024,Q4,Maharashtra,West,Amravati,Rural,1707409,31,64,18,30,1361179,852800,738975,380026,127743.01,66506.95,21428.53,39807.53,101245.72,51705.8,20196.99,29342.93,14350656,11152634,226959.0,230360.0,102029,59348.0,75223,0.6265156897072317,0.5428933299735009,0.2791888502540812,0.16673707131832036,0.16923564057335588,0.7771515114012907,0.510696155847378,0.19948487699035575,0.28981896716226624,0.5206308352997162,0.311621982290851,43909.0,55077.709677419356,26678.265625,0.09384732647212453,0.07438090067507654,2024-Q4
17,2025,Q1,Maharashtra,West,Amravati,Rural,1727186,28,60,16,42,1106585,942155,491334,451552,126150.03,71257.25,11243.58,43649.2,82675.39,44645.73,24230.92,13798.74,11017789,6257699,347743.0,232116.0,94511,64874.0,68839,0.8514077093038492,0.4440092717685492,0.40805902845240083,0.3142487924560698,0.2097588526864181,0.5679632274678704,0.5400123301504838,0.29308504017942943,0.16690262967008682,0.5648611419275921,0.3460102229068039,39520.892857142855,61685.21428571428,28786.433333333334,0.1139994035704442,0.07471219111048857,2025-Q1
18,2025,Q2,Maharashtra,West,Amravati,Semi-Urban,1727186,28,61,16,32,992277,767891,464689,403279,110996.05,49157.78,17332.15,44506.12,83692.35,30984.96,14376.25,38331.14,12317325,8522020,308885.0,103321.0,68881,29016.0,56141,0.7738675793150501,0.46830572511506363,0.40641776439441807,0.31128908560815177,0.10412515859986678,0.6918726265646152,0.3702245187284142,0.1717749591211144,0.4580005221504713,0.44287864297873664,0.40097030479913476,35438.46428571428,61685.21428571428,28314.524590163935,0.11185994435021673,0.08434373667836703,2025-Q2
19,2025,Q3,Maharashtra,West,Amravati,Rural,1727186,28,64,30,38,1084784,697928,580825,365859,150429.67,65856.85,19444.92,65127.91,83299.93,36962.86,13984.6,32352.48,10165707,7154761,175105.0,100156.0,120906,79307.0,71177,0.6433796958657207,0.5354291729966518,0.3372643770557088,0.16141923184707738,0.09232805793595776,0.703813418978139,0.4437321856092797,0.16788249401890257,0.38838544041993794,0.43779162714376757,0.4329459075460313,38742.28571428572,61685.21428571428,26987.28125,0.1386724638269001,0.07678941614183099,2025-Q3
20,2025,Q4,Maharashtra,West,Amravati,Rural,1727186,24,53,16,37,889045,792642,345511,361965,137695.64,59458.0,18641.98,59595.65,119777.29,54453.1,29718.64,35605.55,11681424,7654770,317765.0,167174.0,153839,24246.0,85220,0.8915656687794206,0.3886316215714615,0.4071391211918407,0.3574228526115101,0.1880377258743933,0.6552942517966988,0.4546195693691183,0.248115815610789,0.29726461502009277,0.4318074268727753,0.43280709541710977,37043.541666666664,71966.08333333333,32588.415094339623,0.1548803941307808,0.13472579003312543,2025-Q4
21,2021,Q1,Maharashtra,West,Pune,Rural,995735,24,40,21,25,581593,403894,262920,159699,70889.51,32946.76,8586.18,29356.56,53090.43,21458.7,9484.39,22147.34,4584749,3000024,96858.0,124442.0,89766,16946.0,69511,0.6944615908375789,0.45206871471974386,0.2745889307471032,0.16653914335282577,0.213967499608833,0.6543485804784515,0.40419148987868436,0.17864594428788766,0.417162565833428,0.4647621347643679,0.41411712395811456,24233.041666666668,41488.958333333336,24893.375,0.12188851997874801,0.09128450651916374,2021-Q1
22,2021,Q2,Maharashtra,West,Pune,Rural,995735,23,38,17,32,684218,612977,311557,258231,90808.86,46408.14,7841.45,36559.26,51048.31,19233.49,8265.44,23549.38,7893800,5564917,146865.0,158358.0,89406,37123.0,64252,0.8958796757758493,0.4553475646650629,0.37741041597853314,0.2146465015535984,0.2314437796140996,0.704973143479693,0.3767703573340626,0.16191407707718436,0.46131556558875314,0.5110529963706184,0.40259573790486963,29748.608695652172,43292.82608695652,26203.552631578947,0.13271919183651995,0.07460825350984628,2021-Q2
23,2021,Q3,Maharashtra,West,Pune,Semi-Urban,995735,28,47,19,26,630326,545800,334955,144879,63241.2,31602.03,8070.91,23568.26,52133.05,21455.64,14299.78,16377.63,8831751,5802343,257439.0,75146.0,63530,29011.0,47032,0.8659011368720313,0.5313996249559751,0.22984772958754676,0.40842199116012984,0.11921767466358678,0.6569867062601742,0.41155543364525954,0.274293945970934,0.3141506203838064,0.4997063623081156,0.3726725615579717,22511.64285714286,35561.96428571428,21185.85106382979,0.10033093986286461,0.08270807486919468,2021-Q3
24,2021,Q4,Maharashtra,West,Pune,Semi-Urban,995735,31,68,32,38,931371,736029,472511,313416,84530.24,42906.82,10573.98,31049.44,71889.21,29445.24,16772.06,25671.91,9403494,6889257,295432.0,205568.0,80789,26368.0,37725,0.7902640301233343,0.5073284437673065,0.3365103701961946,0.3172012012398926,0.2207154828741715,0.7326273617019377,0.4095919262431733,0.23330427473051937,0.35710379902630723,0.507591366119391,0.3673175422192105,30044.225806451614,32120.483870967742,14643.161764705883,0.09075893494643918,0.07718643805744435,2021-Q4
25,2022,Q1,Maharashtra,West,Pune,Semi-Urban,1007683,27,54,19,31,737529,578026,339307,270311,75178.09,36526.46,12587.2,26064.43,54130.33,29480.57,13222.47,11427.29,6115509,3573204,160807.0,164366.0,37191,38672.0,24089,0.7837332498111939,0.46005919767222714,0.3665089779520534,0.21803481625807256,0.22286038921859344,0.5842856252848291,0.5446220261358096,0.24427100296635915,0.21110697089783123,0.48586576221875283,0.3467024767455518,27315.88888888889,37321.59259259259,18660.796296296296,0.10193238503163943,0.0733941716190143,2022-Q1
26,2022,Q2,Maharashtra,West,Pune,Rural,1007683,24,54,14,23,650177,419911,309633,236947,85671.83,41153.81,6875.98,37642.04,71667.85,26295.18,17459.65,27913.03,7207545,3970167,200056.0,95453.0,81216,33525.0,58198,0.6458410555894779,0.47622878077815733,0.3644346078067972,0.3076946739118732,0.14681079152292376,0.5508348543089221,0.36690343019917576,0.24361900070952316,0.3894777086238808,0.4803657164788005,0.43937476297634825,27090.708333333332,41986.791666666664,18660.796296296296,0.13176693423483143,0.11022821477843726,2022-Q2
27,2022,Q3,Maharashtra,West,Pune,Rural,1007683,29,62,16,42,682264,498875,273570,255750,68150.81,37790.55,6060.0,24300.26,49522.52,19642.78,10301.17,19578.58,7264200,4531950,171229.0,95295.0,70590,42191.0,46332,0.7312052226117749,0.40097381658712755,0.37485489487940155,0.2509717645955231,0.13967467138820164,0.6238746179895928,0.3966433856758501,0.20800981048621922,0.3953470057662656,0.5545135853851187,0.3565659747844523,23526.344827586207,34747.68965517241,16252.951612903225,0.09988920711044405,0.07258556804990443,2022-Q3
28,2022,Q4,Maharashtra,West,Pune,Semi-Urban,1007683,35,70,26,35,910705,719562,390574,295644,115235.96,48538.02,11815.52,54882.42,77273.52,34584.69,21568.16,21120.68,5806087,4254086,174746.0,202321.0,38390,23598.0,27175,0.7901153501957275,0.4288699414190105,0.32463201585584794,0.19187991720699898,0.2221586573039568,0.7326941535667654,0.44756198501116556,0.2791145013194688,0.2733236430798027,0.42120549870023205,0.47626122956757594,26020.14285714286,28790.942857142858,14395.471428571429,0.12653489329695128,0.08485022043362012,2022-Q4
29,2023,Q1,Maharashtra,West,Pune,Urban,1019632,39,89,21,61,758486,623787,412747,281304,108236.93,59982.01,10878.65,37376.27,94105.3,46317.74,17685.3,30102.27,9034893,6417790,256641.0,140955.0,41027,38155.0,32610,0.8224106970992213,0.5441722062107937,0.370875665470424,0.33835957420440194,0.18583731275198223,0.7103338135825183,0.4921905567486634,0.1879309666936931,0.3198785828215839,0.5541732382838279,0.3453190144990254,19448.358974358973,26144.410256410258,11456.539325842698,0.142701289147064,0.12406992350550966,2023-Q1
30,2023,Q2,Maharashtra,West,Pune,Rural,1019632,29,58,21,32,762200,589712,320387,277257,61931.36,26038.03,5677.22,30216.1,43732.51,20607.65,11860.28,11264.58,8966995,5403112,146096.0,171102.0,92762,56819.0,48778,0.7736971923379691,0.4203450537916557,0.36375885594332197,0.1916767252689583,0.2244843872999213,0.6025554826338143,0.47122038044466236,0.2712005325100251,0.2575790870453125,0.42043368658463176,0.48789660036530763,26282.758620689656,35159.724137931036,17579.862068965518,0.08125342429808449,0.05737668590921018,2023-Q2
31,2023,Q3,Maharashtra,West,Pune,Rural,1019632,28,44,27,40,862044,727453,469836,223394,93118.99,52636.31,10393.91,30088.77,69293.68,33718.05,15471.39,20104.23,10388807,6668931,295042.0,218187.0,62528,46442.0,36359,0.843869918472839,0.5450255439397524,0.2591445448260182,0.34225863180997723,0.2531042498990771,0.6419342471180762,0.48659632451328905,0.22327274291104182,0.29013078826236394,0.5652586008503743,0.3231217391855302,30787.285714285714,36415.42857142857,23173.454545454544,0.10802115669269782,0.08038299669158418,2023-Q3
32,2023,Q4,Maharashtra,West,Pune,Rural,1019632,29,57,17,26,779257,577295,347987,290986,119717.9,67111.54,15508.54,37097.82,95137.67,44203.83,28510.57,22423.27,9524298,4980621,239938.0,150902.0,48200,47303.0,30499,0.7408274805359464,0.44656255895038477,0.3734146757744877,0.3079061208304834,0.1936485652358593,0.5229383834903107,0.4646301512324193,0.2996769838908184,0.23569286487676228,0.5605806650467474,0.3098769691082119,26870.931034482757,35159.724137931036,17888.280701754386,0.1536308303935672,0.12208766812489333,2023-Q4
33,2024,Q1,Maharashtra,West,Pune,Semi-Urban,1031581,33,61,26,41,772029,595358,368467,236148,122091.06,62968.57,16671.64,42450.86,96004.98,45103.7,26473.55,24427.73,5543285,3365212,279436.0,112227.0,53926,43038.0,42460,0.7711601507197269,0.4772709315323647,0.30587970141018017,0.3619501339975571,0.14536630100682746,0.6070790154213611,0.46980583715553087,0.27575184120657076,0.25444232163789837,0.5157508666072684,0.3476983490846914,23394.81818181818,31260.030303030304,16911.16393442623,0.1581431008420668,0.12435411105023256,2024-Q1
34,2024,Q2,Maharashtra,West,Pune,Rural,1031581,24,39,16,32,807357,523667,455147,311573,65217.06,35438.92,7659.32,22118.82,37352.69,13651.07,6521.58,17180.04,4373100,2408580,229635.0,158219.0,46350,27705.0,35220,0.648618888546207,0.5637493698574484,0.38591725841232566,0.28442807828507094,0.19597154666399128,0.5507717637373946,0.3654641740661783,0.17459465436090413,0.4599411715729175,0.543399533802965,0.33915696291737163,33639.875,42982.541666666664,26450.79487179487,0.08077846603175547,0.046265394367052,2024-Q2
35,2024,Q3,Maharashtra,West,Pune,Rural,1031581,25,50,18,34,652352,548354,326661,159171,88967.11,50504.28,11260.57,27202.26,63048.87,33648.61,15269.78,14130.48,5495826,3590365,125320.0,165904.0,46349,17413.0,26198,0.8405799323064849,0.5007434636515256,0.24399557294221524,0.1921048758952222,0.2543166879230845,0.6532894236462362,0.5336909289571724,0.2421895903923417,0.22411948065048587,0.5676736043241148,0.30575636322231886,26094.08,41263.24,20631.62,0.13637899477582655,0.09664854250466007,2024-Q3
36,2024,Q4,Maharashtra,West,Pune,Semi-Urban,1031581,33,58,22,29,777227,694181,366693,261952,144220.17,64828.99,15858.39,63532.78,94071.81,40400.42,20672.32,32999.07,8940761,5967893,297070.0,131809.0,59484,51940.0,39697,0.893150907006576,0.4717965279126948,0.3370340968597334,0.3822178076675154,0.1695888073883177,0.6674927335603759,0.42946361933505905,0.219750422576115,0.35078595808882596,0.44951403122045963,0.4405263147311502,23552.333333333332,31260.030303030304,17785.879310344826,0.18555733395777554,0.12103518019832044,2024-Q4
37,2025,Q1,Maharashtra,West,Pune,Rural,1043530,28,55,22,32,888309,576365,396960,209512,145606.61,82062.27,19315.86,44228.49,118559.81,64708.32,32908.7,20942.79,7381834,4105529,256723.0,116193.0,48802,44660.0,32705,0.648833908020745,0.44687152781295697,0.23585486581808807,0.28900191262274727,0.13080245725305045,0.5561665298894557,0.5457862997587463,0.27757045157207993,0.17664324866917383,0.5635889057509135,0.3037533117486905,31725.321428571428,37268.92857142857,18973.272727272728,0.16391436988705504,0.13346685669063355,2025-Q1
38,2025,Q2,Maharashtra,West,Pune,Rural,1043530,33,66,34,39,870134,735688,502716,301650,167291.61,95541.17,15743.51,56006.93,114445.77,47471.88,19704.07,47269.82,12013350,6208896,282976.0,196561.0,91399,49724.0,64935,0.8454881661904948,0.5777454966706277,0.34667074266722137,0.32520968034808434,0.22589739051686292,0.5168330232616214,0.4147980305431996,0.1721694912795816,0.4130324781772188,0.5711055682947878,0.33478624540704705,26367.696969696968,31622.121212121212,15811.060606060606,0.19225959449923805,0.13152660394835738,2025-Q2
39,2025,Q3,Maharashtra,West,Pune,Urban,1043530,38,83,28,27,914952,655703,489286,270989,160335.29,92341.51,25329.11,42664.67,94228.81,43642.58,28075.61,22510.63,8329092,5278456,224563.0,102565.0,82961,54844.0,49688,0.716652895452439,0.5347668511572192,0.29617837875648123,0.24543691909520937,0.11209877676643146,0.6337372669193713,0.46315537678975255,0.29795144393736905,0.23889328539753396,0.5759275453332825,0.26609656551592603,24077.684210526317,27461.315789473683,12572.650602409638,0.17523901800313021,0.10298770864482508,2025-Q3
40,2025,Q4,Maharashtra,West,Pune,Rural,1043530,33,68,25,27,943480,767560,487436,370544,142114.17,71013.67,12323.79,58776.71,97167.99,43676.33,25344.17,28147.49,8055199,4510504,190132.0,113601.0,82366,35414.0,56358,0.8135413575274516,0.5166362826980964,0.3927417645313096,0.20152202484419385,0.12040636791452919,0.5599494190025597,0.44949298632193585,0.26082838597361124,0.28967862770445285,0.49969450618471045,0.4135879624107856,28590.303030303032,31622.121212121212,15346.029411764706,0.15062764446517152,0.10298892398355027,2025-Q4
41,2021,Q1,Maharashtra,West,Nagpur,Urban,674137,24,47,13,20,566660,364466,283687,153861,68109.74,32482.06,10346.18,25281.5,44138.53,20448.54,10003.87,13686.12,5378471,2928481,143072.0,112024.0,24856,21597.0,16657,0.643182860974835,0.5006300074118519,0.27152260614830764,0.2524829703878869,0.19769173754985353,0.5444820656279452,0.46328094750776705,0.2266471040154713,0.3100719484767617,0.4769077080605505,0.3711877332082019,23610.833333333332,28089.041666666668,14343.340425531915,0.1201950728832104,0.07789243991105778,2021-Q1
42,2021,Q2,Maharashtra,West,Nagpur,Rural,674137,16,31,14,16,429031,278804,169479,159994,61329.82,30025.39,6417.56,24886.87,50309.08,25651.75,12942.39,11714.94,3058678,1552201,81064.0,66368.0,60698,13660.0,48654,0.6498458153373532,0.39502739895252326,0.3729194393878298,0.18894671946782401,0.1546927844374882,0.5074744709969471,0.5098831065883137,0.2572575368104525,0.2328593566012338,0.4895724461607746,0.40578742934513745,26814.4375,42133.5625,21746.354838709678,0.14294962368686645,0.11726210926483169,2021-Q2
43,2021,Q3,Maharashtra,West,Nagpur,Rural,674137,21,47,20,29,419200,341160,230492,114202,54792.03,31671.26,9556.05,13564.71,30848.51,15150.16,8931.71,6766.63,5998439,2940337,91072.0,79691.0,51804,16712.0,41030,0.8138358778625954,0.5498377862595419,0.2724284351145038,0.21725190839694655,0.19010257633587788,0.49018369612494184,0.4911148058690679,0.2895345674718163,0.21935030249435064,0.5780267677616616,0.24756721004861473,19961.904761904763,32101.761904761905,14343.340425531915,0.1307061784351145,0.07358900286259541,2021-Q3
44,2021,Q4,Maharashtra,West,Nagpur,Urban,674137,28,64,22,41,594736,421874,324596,135463,85500.42,37559.54,7497.99,40442.89,66671.11,27866.86,17432.32,21371.94,5784090,4148447,99981.0,77227.0,36487,33480.0,28380,0.709346668101477,0.5457816577439402,0.22776996852384923,0.16810988404939334,0.12985089182427162,0.7172168828631643,0.41797504196345314,0.26146737319957625,0.32055773482697375,0.43929070757781075,0.4730139337327232,21240.571428571428,24076.321428571428,10533.390625,0.143761971698367,0.11210202510021253,2021-Q4
45,2022,Q1,Maharashtra,West,Nagpur,Semi-Urban,682226,25,57,24,39,429475,358531,197724,137764,70989.26,40992.98,11133.06,18863.22,48830.89,21205.86,12855.29,14769.74,3830124,2168507,101135.0,50945.0,36006,15753.0,16763,0.8348122707957389,0.46038535421153737,0.32077303684731356,0.23548518540078003,0.11862157285057337,0.5661714868761429,0.434271421225376,0.26326143144226943,0.3024671473323546,0.5774532654657902,0.26571934965937105,17179.0,27289.04,11968.877192982456,0.16529311368531346,0.11369902788288026,2022-Q1
46,2022,Q2,Maharashtra,West,Nagpur,Rural,682226,24,56,18,25,426425,290442,243058,164230,36570.07,20503.34,6380.5,9686.24,25754.2,12173.55,4722.93,8857.72,5044991,3404834,138745.0,48310.0,48754,21591.0,26100,0.6811092220202849,0.5699900334173653,0.3851322037873014,0.3253678841531336,0.11329073107814973,0.6748939690873581,0.4726821256338771,0.18338484596687143,0.34393302839925133,0.560659030731962,0.2648679644310224,17767.708333333332,28426.083333333332,12182.607142857143,0.08575967637919915,0.060395614703640736,2022-Q2
47,2022,Q3,Maharashtra,West,Nagpur,Rural,682226,19,41,14,14,500006,433735,282778,214467,47949.36,25955.86,7173.32,14820.18,28807.29,14782.94,5514.34,8510.01,6041065,3951012,120661.0,98629.0,27622,34436.0,15144,0.8674595904849142,0.5655492134094391,0.42892885285376575,0.24131910417074995,0.1972556329324048,0.6540257388390954,0.5131666324739328,0.19142168527480372,0.29541168225126346,0.5413181740069106,0.3090798292198269,26316.105263157893,35906.63157894737,16639.658536585364,0.09589756922916925,0.0576138886333364,2022-Q3
48,2022,Q4,Maharashtra,West,Nagpur,Rural,682226,20,45,21,29,480078,385727,235320,114386,59735.38,27571.5,9100.21,23063.68,42629.5,15611.32,8134.8,18883.38,6690462,4205249,153383.0,52160.0,43550,26222.0,32885,0.8034673532217681,0.49017034731856074,0.23826544853128034,0.31949599856689953,0.10864901120234628,0.6285438882994926,0.3662093151456151,0.19082560198923282,0.44296508286515207,0.4615606362594496,0.38609748527589516,24003.9,34111.3,15160.577777777778,0.12442848870391894,0.0887970288161507,2022-Q4
49,2023,Q1,Maharashtra,West,Nagpur,Rural,690316,23,40,23,32,428775,367958,237309,158113,80527.26,42584.63,11423.69,26518.94,64292.68,24541.87,18215.53,21535.29,5799866,3008164,164359.0,46307.0,38041,26659.0,19381,0.8581610401725847,0.5534581073989855,0.36875517462538626,0.38332225526208386,0.10799836744213165,0.5186609483736349,0.38172106062463096,0.2833219893773288,0.3349571055367423,0.5288225378586083,0.32931630853949334,18642.391304347828,30013.739130434784,17257.9,0.18780773132761938,0.14994502944434726,2023-Q1
