Record_ID,Year,Quarter,State,Region,District,Rural_Urban,Population,Branches,Banking_Outlets,ATMs,BC_Outlets,Total_Accounts,Active_Accounts,Women_Accounts,Jan_Dhan_Accounts,Total_Deposits_Lakh,Savings_Deposits_Lakh,Current_Deposits_Lakh,Term_Deposits_Lakh,Total_Loans_Lakh,Agricultural_Loans_Lakh,MSME_Loans_Lakh,Personal_Loans_Lakh,Digital_Transactions,UPI_Transactions,Mobile_Banking_Users,Internet_Banking_Users,Agricultural_Beneficiaries,SHG_Accounts,KCC_Accounts
11,2023,Q3,Maharashtra,West,Amravati,Urban,1687632,37,60,32,58,1024009,783502,568811,384578,173730.6,82959.59,18999.04,71771.97,141953.4,72683.36,39944.28,29325.75,10101048,7267588,358407.0,174147.0,124881,61541.0,92966
12,2023,Q4,Maharashtra,West,Amravati,Urban,1687632,41,74,31,32,1313159,827373,621281,438536,149355.68,63458.25,12506.27,73391.16,122689.45,51779.63,21812.77,49097.05,8221169,5482427,294365.0,226699.0,67709,36222.0,43780
13,2024,Q1,Maharashtra,West,Amravati,Rural,1707409,27,62,22,26,1230738,856388,575732,291039,105179.09,58243.64,15734.52,31200.93,72042.89,27711.93,13104.69,31226.26,12471873,8456668,244124.0,196836.0,88437,89527.0,63941
14,2024,Q2,Maharashtra,West,Amravati,Rural,1707409,26,53,20,23,1005923,837126,385146,245822,75325.83,41946.97,11326.43,22052.43,53215.99,19666.87,12177.21,21371.91,9854955,5908552,287220.0,129453.0,122849,57090.0,57341
15,2024,Q3,Maharashtra,West,Amravati,Rural,1707409,24,53,21,20,868820,694949,334758,298016,171218.04,82545.45,24711.7,63960.9,120062.11,55123.32,35034.73,29904.06,12139106,6539789,222652.0,216989.0,66865,26098.0,30540
16,2024,Q4,Maharashtra,West,Amravati,Rural,1707409,31,64,18,30,1361179,852800,738975,380026,127743.01,66506.95,21428.53,39807.53,101245.72,51705.8,20196.99,29342.93,14350656,11152634,226959.0,230360.0,102029,59348.0,75223
17,2025,Q1,Maharashtra,West,Amravati,Rural,1727186,28,60,16,42,1106585,942155,491334,451552,126150.03,71257.25,11243.58,43649.2,82675.39,44645.73,24230.92,13798.74,11017789,6257699,347743.0,232116.0,94511,64874.0,68839
18,2025,Q2,Maharashtra,West,Amravati,Semi-Urban,1727186,28,61,16,32,992277,767891,464689,403279,110996.05,49157.78,17332.15,44506.12,83692.35,30984.96,14376.25,38331.14,12317325,8522020,308885.0,103321.0,68881,29016.0,56141
19,2025,Q3,Maharashtra,West,Amravati,Rural,1727186,28,64,30,38,1084784,697928,580825,365859,150429.67,65856.85,19444.92,65127.91,83299.93,36962.86,13984.6,32352.48,10165707,7154761,175105.0,100156.0,120906,79307.0,71177
20,2025,Q4,Maharashtra,West,Amravati,Rural,1727186,24,53,16,37,889045,792642,345511,361965,137695.64,59458.0,18641.98,59595.65,119777.29,54453.1,29718.64,35605.55,11681424,7654770,317765.0,167174.0,153839,24246.0,85220
21,2021,Q1,Maharashtra,West,Pune,Rural,995735,24,40,21,25,581593,403894,262920,159699,70889.51,32946.76,8586.18,29356.56,53090.43,21458.7,9484.39,22147.34,4584749,3000024,96858.0,124442.0,89766,16946.0,69511
22,2021,Q2,Maharashtra,West,Pune,Rural,995735,23,38,17,32,684218,612977,311557,258231,90808.86,46408.14,7841.45,36559.26,51048.31,19233.49,8265.44,23549.38,7893800,5564917,146865.0,158358.0,89406,37123.0,64252
23,2021,Q3,Maharashtra,West,Pune,Semi-Urban,995735,28,47,19,26,630326,545800,334955,144879,63241.2,31602.03,8070.91,23568.26,52133.05,21455.64,14299.78,16377.63,8831751,5802343,257439.0,75146.0,63530,29011.0,47032
24,2021,Q4,Maharashtra,West,Pune,Semi-Urban,995735,31,68,32,38,931371,736029,472511,313416,84530.24,42906.82,10573.98,31049.44,71889.21,29445.24,16772.06,25671.91,9403494,6889257,295432.0,205568.0,80789,26368.0,37725
25,2022,Q1,Maharashtra,West,Pune,Semi-Urban,1007683,27,54,19,31,737529,578026,339307,270311,75178.09,36526.46,12587.2,26064.43,54130.33,29480.57,13222.47,11427.29,6115509,3573204,160807.0,164366.0,37191,38672.0,24089
26,2022,Q2,Maharashtra,West,Pune,Rural,1007683,24,54,14,23,650177,419911,309633,236947,85671.83,41153.81,6875.98,37642.04,71667.85,26295.18,17459.65,27913.03,7207545,3970167,200056.0,95453.0,81216,33525.0,58198
27,2022,Q3,Maharashtra,West,Pune,Rural,1007683,29,62,16,42,682264,498875,273570,255750,68150.81,37790.55,6060.0,24300.26,49522.52,19642.78,10301.17,19578.58,7264200,4531950,171229.0,95295.0,70590,42191.0,46332
28,2022,Q4,Maharashtra,West,Pune,Semi-Urban,1007683,35,70,26,35,910705,719562,390574,295644,115235.96,48538.02,11815.52,54882.42,77273.52,34584.69,21568.16,21120.68,5806087,4254086,174746.0,202321.0,38390,23598.0,27175
29,2023,Q1,Maharashtra,West,Pune,Urban,1019632,39,89,21,61,758486,623787,412747,281304,108236.93,59982.01,10878.65,37376.27,94105.3,46317.74,17685.3,30102.27,9034893,6417790,256641.0,140955.0,41027,38155.0,32610
30,2023,Q2,Maharashtra,West,Pune,Rural,1019632,29,58,21,32,762200,589712,320387,277257,61931.36,26038.03,5677.22,30216.1,43732.51,20607.65,11860.28,11264.58,8966995,5403112,146096.0,171102.0,92762,56819.0,48778
31,2023,Q3,Maharashtra,West,Pune,Rural,1019632,28,44,27,40,862044,727453,469836,223394,93118.99,52636.31,10393.91,30088.77,69293.68,33718.05,15471.39,20104.23,10388807,6668931,295042.0,218187.0,62528,46442.0,36359
32,2023,Q4,Maharashtra,West,Pune,Rural,1019632,29,57,17,26,779257,577295,347987,290986,119717.9,67111.54,15508.54,37097.82,95137.67,44203.83,28510.57,22423.27,9524298,4980621,239938.0,150902.0,48200,47303.0,30499
33,2024,Q1,Maharashtra,West,Pune,Semi-Urban,1031581,33,61,26,41,772029,595358,368467,236148,122091.06,62968.57,16671.64,42450.86,96004.98,45103.7,26473.55,24427.73,5543285,3365212,279436.0,112227.0,53926,43038.0,42460
34,2024,Q2,Maharashtra,West,Pune,Rural,1031581,24,39,16,32,807357,523667,455147,311573,65217.06,35438.92,7659.32,22118.82,37352.69,13651.07,6521.58,17180.04,4373100,2408580,229635.0,158219.0,46350,27705.0,35220
35,2024,Q3,Maharashtra,West,Pune,Rural,1031581,25,50,18,34,652352,548354,326661,159171,88967.11,50504.28,11260.57,27202.26,63048.87,33648.61,15269.78,14130.48,5495826,3590365,125320.0,165904.0,46349,17413.0,26198
36,2024,Q4,Maharashtra,West,Pune,Semi-Urban,1031581,33,58,22,29,777227,694181,366693,261952,144220.17,64828.99,15858.39,63532.78,94071.81,40400.42,20672.32,32999.07,8940761,5967893,297070.0,131809.0,59484,51940.0,39697
37,2025,Q1,Maharashtra,West,Pune,Rural,1043530,28,55,22,32,888309,576365,396960,209512,145606.61,82062.27,19315.86,44228.49,118559.81,64708.32,32908.7,20942.79,7381834,4105529,256723.0,116193.0,48802,44660.0,32705
38,2025,Q2,Maharashtra,West,Pune,Rural,1043530,33,66,34,39,870134,735688,502716,301650,167291.61,95541.17,15743.51,56006.93,114445.77,47471.88,19704.07,47269.82,12013350,6208896,282976.0,196561.0,91399,49724.0,64935
39,2025,Q3,Maharashtra,West,Pune,Urban,1043530,38,83,28,27,914952,655703,489286,270989,160335.29,92341.51,25329.11,42664.67,94228.81,43642.58,28075.61,22510.63,8329092,5278456,224563.0,102565.0,82961,54844.0,49688
40,2025,Q4,Maharashtra,West,Pune,Rural,1043530,33,68,25,27,943480,767560,487436,370544,142114.17,71013.67,12323.79,58776.71,97167.99,43676.33,25344.17,28147.49,8055199,4510504,190132.0,113601.0,82366,35414.0,56358
41,2021,Q1,Maharashtra,West,Nagpur,Urban,674137,24,47,13,20,566660,364466,283687,153861,68109.74,32482.06,10346.18,25281.5,44138.53,20448.54,10003.87,13686.12,5378471,2928481,143072.0,112024.0,24856,21597.0,16657
42,2021,Q2,Maharashtra,West,Nagpur,Rural,674137,16,31,14,16,429031,278804,169479,159994,61329.82,30025.39,6417.56,24886.87,50309.08,25651.75,12942.39,11714.94,3058678,1552201,81064.0,66368.0,60698,13660.0,48654
43,2021,Q3,Maharashtra,West,Nagpur,Rural,674137,21,47,20,29,419200,341160,230492,114202,54792.03,31671.26,9556.05,13564.71,30848.51,15150.16,8931.71,6766.63,5998439,2940337,91072.0,79691.0,51804,16712.0,41030
44,2021,Q4,Maharashtra,West,Nagpur,Urban,674137,28,64,22,41,594736,421874,324596,135463,85500.42,37559.54,7497.99,40442.89,66671.11,27866.86,17432.32,21371.94,5784090,4148447,99981.0,77227.0,36487,33480.0,28380
45,2022,Q1,Maharashtra,West,Nagpur,Semi-Urban,682226,25,57,24,39,429475,358531,197724,137764,70989.26,40992.98,11133.06,18863.22,48830.89,21205.86,12855.29,14769.74,3830124,2168507,101135.0,50945.0,36006,15753.0,16763
46,2022,Q2,Maharashtra,West,Nagpur,Rural,682226,24,56,18,25,426425,290442,243058,164230,36570.07,20503.34,6380.5,9686.24,25754.2,12173.55,4722.93,8857.72,5044991,3404834,138745.0,48310.0,48754,21591.0,26100
47,2022,Q3,Maharashtra,West,Nagpur,Rural,682226,19,41,14,14,500006,433735,282778,214467,47949.36,25955.86,7173.32,14820.18,28807.29,14782.94,5514.34,8510.01,6041065,3951012,120661.0,98629.0,27622,34436.0,15144
48,2022,Q4,Maharashtra,West,Nagpur,Rural,682226,20,45,21,29,480078,385727,235320,114386,59735.38,27571.5,9100.21,23063.68,42629.5,15611.32,8134.8,18883.38,6690462,4205249,153383.0,52160.0,43550,26222.0,32885
49,2023,Q1,Maharashtra,West,Nagpur,Rural,690316,23,40,23,32,428775,367958,237309,158113,80527.26,42584.63,11423.69,26518.94,64292.68,24541.87,18215.53,21535.29,5799866,3008164,164359.0,46307.0,38041,26659.0,19381
50,2023,Q2,Maharashtra,West,Nagpur,Semi-Urban,690316,31,68,25,21,437842,347094,252300,154418,48662.91,24642.78,7687.99,16332.14,28482.58,14304.11,6715.55,7462.92,4845029,3680324,163265.0,65383.0,28406,31463.0,20012
51,2023,Q3,Maharashtra,West,Nagpur,Rural,690316,25,40,21,25,442481,280005,245270,187803,91542.01,40352.98,14264.65,36924.37,51090.85,18107.86,10489.23,22493.76,4186561,2569588,97174.0,76744.0,35494,33122.0,21569
52,2023,Q4,Maharashtra,West,Nagpur,Rural,690316,19,31,18,25,365726,235186,188751,130727,43560.8,19348.37,5368.15,18844.28,37522.98,16282.93,9357.99,11882.06,4443411,2678489,76053.0,41120.0,61193,13348.0,32361
53,2024,Q1,Maharashtra,West,Nagpur,Rural,698405,17,38,13,26,342670,295797,183437,130863,65411.99,34027.0,6091.46,25293.52,36678.7,19592.65,9035.1,8050.95,2403227,1243803,126334.0,63982.0,53172,15939.0,27872
54,2024,Q2,Maharashtra,West,Nagpur,Rural,698405,26,41,22,24,483644,341888,227817,107581,40272.96,20007.21,5638.3,14627.45,26026.35,12726.79,7298.23,6001.32,4200291,2148360,144537.0,43735.0,34586,35950.0,17387
55,2024,Q3,Maharashtra,West,Nagpur,Rural,698405,27,53,14,26,435054,280436,195828,98745,36586.63,16143.28,5003.37,15439.98,28446.96,14511.29,5348.63,8587.05,4044098,2798284,73907.0,39517.0,25767,31241.0,12090
56,2024,Q4,Maharashtra,West,Nagpur,Rural,698405,26,55,26,34,513630,367269,278883,121639,97754.73,53840.14,12242.0,31672.58,74526.31,33930.38,19557.38,21038.55,3783320,1997076,88594.0,48505.0,60975,18470.0,49455
57,2025,Q1,Maharashtra,West,Nagpur,Rural,706495,23,47,18,27,473211,323660,274115,200975,70698.22,37387.8,6166.29,27144.13,39599.16,15900.51,8900.59,14798.05,4811651,2923790,144271.0,85910.0,39391,20609.0,32120
58,2025,Q2,Maharashtra,West,Nagpur,Rural,706495,20,44,17,21,484241,366215,268601,198125,59978.97,30875.74,10270.58,18832.65,37158.08,17634.98,9230.75,10292.35,5447109,4100092,150371.0,53582.0,32344,17857.0,26179
59,2025,Q3,Maharashtra,West,Nagpur,Rural,706495,23,40,23,25,449653,324013,224192,114364,60969.18,28125.17,8881.6,23962.41,40075.82,20226.05,7146.41,12703.36,3202690,1607907,152983.0,68288.0,31923,22927.0,18345
60,2025,Q4,Maharashtra,West,Nagpur,Semi-Urban,706495,32,60,21,40,585225,390211,242004,133256,101622.1,50398.56,16708.4,34515.13,82910.54,38725.1,23344.12,20841.32,4122688,2049495,106730.0,55559.0,47243,42036.0,21947
61,2021,Q1,Maharashtra,West,Nashik,Rural,667285,21,39,17,27,217913,154822,125217,74487,23592.03,11202.07,3143.04,9246.92,13954.56,5254.49,2513.16,6186.91,1333091,715209,71892.0,41272.0,52615,7149.0,28243
62,2021,Q2,Maharashtra,West,Nashik,Urban,667285,26,45,23,41,413451,258367,177299,163099,80108.43,35095.31,12781.38,32231.74,68345.61,32130.77,19937.95,16276.88,3448950,2016159,112383.0,65468.0,29732,22842.0,16878
63,2021,Q3,Maharashtra,West,Nashik,Urban,667285,24,39,21,33,557321,413915,312253,225356,68778.39,33021.02,7544.09,28213.27,52560.07,21847.97,13046.95,17665.15,4768365,3073449,156690.0,96312.0,47236,29139.0,29023
64,2021,Q4,Maharashtra,West,Nashik,Rural,667285,15,30,9,19,358071,272178,174907,150321,70251.0,38652.29,6385.24,25213.48,42092.11,19165.58,8184.8,14741.73,3763179,2649514,93613.0,54128.0,52001,18283.0,39223
65,2022,Q1,Maharashtra,West,Nashik,Rural,675292,16,29,10,18,254065,169352,127914,83802,43858.36,22155.56,6056.54,15646.26,25419.28,12545.11,5490.23,7383.95,2115603,1093696,80264.0,48203.0,58456,16511.0,30297
66,2022,Q2,Maharashtra,West,Nashik,Rural,675292,18,39,11,27,296365,190968,160970,88446,39236.92,16495.73,5642.21,17098.98,28250.89,13241.41,7659.5,7349.98,2094632,1574675,74118.0,29591.0,54831,15657.0,29860
67,2022,Q3,Maharashtra,West,Nashik,Rural,675292,19,39,18,26,259571,191746,106579,69928,47916.26,24229.2,4688.35,18998.71,31291.7,12393.05,5909.94,12988.7,2755531,1370976,73988.0,32860.0,29379,10052.0,19710
68,2022,Q4,Maharashtra,West,Nashik,Semi-Urban,675292,23,43,18,31,297838,213104,161946,103253,37788.64,20542.64,4024.09,13221.9,28830.67,13525.92,6232.22,9072.54,3114735,1908469,67214.0,40215.0,57340,17417.0,27286
69,2023,Q1,Maharashtra,West,Nashik,Semi-Urban,683299,22,46,14,24,320309,203285,145963,94881,63902.78,30249.73,8821.62,24831.43,37018.45,20076.33,9213.69,7728.43,2291869,1390721,84618.0,31325.0,57607,8027.0,32335
70,2023,Q2,Maharashtra,West,Nashik,Urban,683299,21,40,15,16,593847,371515,313216,226496,65185.53,28347.15,6890.42,29947.97,52800.78,27611.49,12946.12,12243.16,2858510,1472975,130690.0,56418.0,33236,24991.0,19640
71,2023,Q3,Maharashtra,West,Nashik,Rural,683299,17,37,11,26,393743,261954,211540,134133,56864.46,28442.72,6807.69,21614.05,41403.68,19691.18,10533.2,11179.3,2307992,1254612,93896.0,69230.0,57481,16193.0,26353
72,2023,Q4,Maharashtra,West,Nashik,Rural,683299,13,22,13,15,415744,324715,197840,118854,59248.08,33399.44,9653.48,16195.16,38794.77,20970.88,10689.05,7134.84,4220063,2666371,127690.0,46873.0,33449,12055.0,24664
73,2024,Q1,Maharashtra,West,Nashik,Rural,691307,19,42,13,27,239795,149860,120019,71125,30207.21,13613.94,3056.23,13537.04,21444.66,10740.57,5291.03,5413.05,1303746,654987,44555.0,30881.0,56660,9176.0,29223
74,2024,Q2,Maharashtra,West,Nashik,Semi-Urban,691307,22,44,19,19,347493,236929,144122,124298,66065.49,36120.31,7959.56,21985.62,50595.93,21293.16,11817.72,17485.05,2667315,2051556,81793.0,36813.0,34506,11012.0,20871
75,2024,Q3,Maharashtra,West,Nashik,Semi-Urban,691307,27,45,24,26,488873,389242,205214,114185,38754.48,17925.35,5604.25,15224.88,27700.93,11169.12,5010.91,11520.9,3880199,2621125,98506.0,114021.0,57821,27232.0,44408
76,2024,Q4,Maharashtra,West,Nashik,Rural,691307,21,48,13,16,380296,336178,206035,89767,45458.44,20933.13,7187.75,17337.56,37380.19,16787.08,8002.68,12590.42,5980706,3679245,113302.0,55601.0,60798,11517.0,49590
77,2025,Q1,Maharashtra,West,Nashik,Rural,699314,20,43,12,14,337552,245915,159455,144551,72215.68,39387.51,8339.77,24488.41,49540.19,22784.68,13686.71,13068.8,1905993,1209156,58494.0,50377.0,62192,21645.0,33229
78,2025,Q2,Maharashtra,West,Nashik,Urban,699314,30,62,16,27,446315,285369,255276,143014,81614.55,35913.45,10400.44,35300.66,47957.17,21446.6,13852.03,12658.55,2489280,1227515,101420.0,69430.0,29125,24514.0,14130
79,2025,Q3,Maharashtra,West,Nashik,Rural,699314,12,20,8,18,385701,292705,147547,165237,59893.1,33581.04,6339.27,19972.78,43693.54,20851.18,8343.23,14499.13,3960305,2115509,138854.0,78924.0,26735,15814.0,19481
80,2025,Q4,Maharashtra,West,Nashik,Rural,699314,22,43,20,17,398706,257453,228468,128607,36725.08,17853.78,5722.45,13148.86,29208.55,13797.77,5106.54,10304.24,3642917,2707202,66785.0,35721.0,42677,13174.0,28016
81,2021,Q1,Maharashtra,West,Aurangabad,Semi-Urban,505147,32,54,27,43,400505,269398,180658,154032,53215.85,28830.14,4445.18,19940.53,42364.72,16543.26,12460.75,13360.71,2280457,1303694,85039.0,49942.0,44250,29964.0,25942
82,2021,Q2,Maharashtra,West,Aurangabad,Rural,505147,22,46,22,27,310990,228743,161442,68627,46650.92,25521.39,4165.88,16963.64,34713.26,15488.87,8675.73,10548.66,3013993,1953664,54180.0,53982.0,35971,18293.0,26900
83,2021,Q3,Maharashtra,West,Aurangabad,Rural,505147,24,38,13,24,390194,319237,209816,128228,48022.71,22691.25,5926.1,19405.36,27816.59,10963.14,6780.34,10073.11,5676727,3819129,131293.0,102050.0,30447,22166.0,22551
84,2021,Q4,Maharashtra,West,Aurangabad,Rural,505147,29,54,29,30,362617,284500,151173,107359,39169.75,16602.91,6391.32,16175.53,25073.08,11373.54,5060.29,8639.25,3536277,2623277,132172.0,48893.0,43198,12439.0,32267
85,2022,Q1,Maharashtra,West,Aurangabad,Rural,511208,20,32,19,22,324083,267129,172769,82113,46299.01,25011.65,6745.56,14541.8,40080.26,14580.86,6732.99,18766.41,2543717,1912560,78367.0,46037.0,25546,12508.0,18673
86,2022,Q2,Maharashtra,West,Aurangabad,Rural,511208,24,52,14,27,258562,164844,145127,64444,36380.42,17301.61,6184.06,12894.74,20271.23,9786.1,5977.48,4507.65,1248666,756239,60274.0,50667.0,25871,15912.0,21035
87,2022,Q3,Maharashtra,West,Aurangabad,Rural,511208,22,44,17,34,372251,267224,149949,93718,37065.7,20612.18,5045.47,11408.05,26788.09,9990.72,7511.9,9285.47,4069760,2617105,109009.0,35683.0,20398,17836.0,12837
88,2022,Q4,Maharashtra,West,Aurangabad,Rural,511208,27,62,27,35,355364,261297,181304,118883,29778.89,16349.34,3749.88,9679.67,16888.97,8567.03,3178.35,5143.59,2944897,2082117,75055.0,,33823,12524.0,26205
89,2023,Q1,Maharashtra,West,Aurangabad,Urban,517270,35,66,38,48,291027,185750,137593,119593,41822.05,18271.04,6092.55,17458.46,34348.2,14635.22,9225.43,10487.55,2322152,1314666,87444.0,29859.0,42711,15680.0,29248
90,2023,Q2,Maharashtra,West,Aurangabad,Semi-Urban,517270,32,59,33,37,317479,258698,171010,90964,62633.82,29081.18,11170.88,22381.76,37356.99,14584.29,6940.61,15832.09,2243725,1373377,117044.0,64896.0,37200,9261.0,28885
91,2023,Q3,Maharashtra,West,Aurangabad,Semi-Urban,517270,33,62,36,42,413896,275848,230285,128213,36370.31,18532.89,4827.79,13009.63,28637.5,15122.08,4900.36,8615.06,4670974,3389814,113149.0,43441.0,34888,25045.0,19757
92,2023,Q4,Maharashtra,West,Aurangabad,Rural,517270,26,57,20,26,374622,319144,167471,96086,65658.03,28633.6,6827.61,30196.82,39188.05,16442.84,8740.86,14004.34,4678659,2740348,132347.0,79859.0,44219,18193.0,35917
93,2024,Q1,Maharashtra,West,Aurangabad,Semi-Urban,523332,32,57,29,24,324663,279082,138123,128494,36958.12,19627.13,4851.33,12479.67,24050.59,9440.55,3959.85,10650.19,4737396,3512122,83452.0,69947.0,42370,20915.0,29491
94,2024,Q2,Maharashtra,West,Aurangabad,Rural,523332,23,52,21,27,292468,217940,138065,117442,41436.49,23879.36,3773.71,13783.43,28568.02,10238.92,7530.15,10798.95,3583316,2034124,99969.0,38359.0,46914,18337.0,35083
95,2024,Q3,Maharashtra,West,Aurangabad,Rural,523332,29,51,29,23,418493,322823,167107,113326,32176.11,15064.93,4499.37,12611.81,20852.97,8549.38,5506.16,6797.42,5444781,3704309,75061.0,97033.0,36943,29133.0,19157
96,2024,Q4,Maharashtra,West,Aurangabad,Rural,523332,25,43,24,18,406073,364946,223802,133802,36031.96,18586.6,3296.68,14148.67,20933.59,11135.11,5310.6,4487.88,5140945,3265702,158975.0,107949.0,31832,16586.0,19443
97,2025,Q1,Maharashtra,West,Aurangabad,Semi-Urban,529394,34,64,30,43,414702,338702,177279,135854,36111.61,17984.55,5244.22,12882.85,31188.7,14662.75,8237.03,8288.92,2582483,1436680,119097.0,83598.0,30022,20164.0,14016
98,2025,Q2,Maharashtra,West,Aurangabad,Rural,529394,27,47,29,26,376504,254105,189063,105023,38472.58,16192.38,3107.29,19172.91,23941.21,8555.25,4192.67,11193.28,3377699,2140786,78290.0,71280.0,27851,26953.0,16624
99,2025,Q3,Maharashtra,West,Aurangabad,Rural,529394,24,43,19,35,390155,318613,225729,96607,42277.18,20609.81,5119.86,16547.52,35914.96,17699.12,8803.0,9412.83,5744858,4172832,95723.0,90727.0,18578,22168.0,8711
100,2025,Q4,Maharashtra,West,Aurangabad,Rural,529394,28,44,24,36,315923,229826,148877,93987,28342.87,15310.49,2468.69,10563.69,16338.51,6877.77,4768.26,4692.49,2675171,1760525,90512.0,58774.0,18850,17945.0,14852
101,2021,Q1,Gujarat,West,Ahmedabad,Rural,1151979,33,65,33,52,1005245,818839,489050,315907,85300.0,48247.52,13716.43,23336.05,52996.63,23494.55,14539.16,14962.92,13136510,7897267,194490.0,161703.0,45683,52400.0,35123
102,2021,Q2,Gujarat,West,Ahmedabad,Semi-Urban,1151979,38,65,28,41,896807,746697,358520,364845,67721.32,28740.06,8078.98,30902.28,48997.6,22163.39,8975.77,17858.44,11484927,8774407,289638.0,96290.0,63803,45613.0,37656
103,2021,Q3,Gujarat,West,Ahmedabad,Rural,1151979,34,68,20,49,875105,748812,434090,295378,73299.26,42185.48,7538.73,23575.04,63957.94,29189.29,11449.14,23319.51,13252078,8007502,184071.0,121137.0,67651,35582.0,34124
104,2021,Q4,Gujarat,West,Ahmedabad,Rural,1151979,29,47,29,29,804712,605724,377269,345157,107824.88,55756.28,10260.45,41808.15,60404.51,32869.02,16206.26,11329.24,8253669,4378580,287614.0,130579.0,57385,53857.0,33385
105,2022,Q1,Gujarat,West,Ahmedabad,Semi-Urban,1165802,33,64,30,30,1022174,789682,422207,350019,193584.31,106603.22,19499.92,67481.17,156452.55,77743.71,31614.13,47094.7,9345398,6534726,240627.0,219929.0,51154,69127.0,36474
106,2022,Q2,Gujarat,West,Ahmedabad,Urban,1165802,46,76,40,57,804640,602168,311875,303052,107552.41,56886.72,13624.55,37041.14,60376.93,32840.32,17682.94,9853.68,9213672,5782310,212778.0,83541.0,61958,39886.0,39857
107,2022,Q3,Gujarat,West,Ahmedabad,Rural,1165802,37,84,27,50,1051239,785984,492706,364196,166761.97,82753.52,29952.5,54055.95,94991.89,33307.35,23712.61,37971.93,8444467,4701999,233903.0,132105.0,42956,77346.0,22838
108,2022,Q4,Gujarat,West,Ahmedabad,Semi-Urban,1165802,35,75,37,25,1041027,799116,527289,369917,181063.32,97283.18,24055.68,59724.46,146990.83,80567.03,27647.67,38776.13,5951034,2935339,382463.0,110247.0,64710,58969.0,30772
109,2023,Q1,Gujarat,West,Ahmedabad,Rural,1179626,31,65,18,32,984694,687802,509560,221698,113635.18,59219.2,15648.03,38767.95,88664.93,31140.7,15439.38,42084.85,5555654,4070196,306708.0,176317.0,58431,48164.0,29433
110,2023,Q2,Gujarat,West,Ahmedabad,Semi-Urban,1179626,38,79,25,56,836249,586966,343251,230717,66645.82,36972.23,8990.39,20683.2,41477.72,14796.51,7882.75,18798.46,5321593,3703495,192637.0,159609.0,102646,39886.0,77387
111,2023,Q3,Gujarat,West,Ahmedabad,Rural,1179626,33,63,22,32,784897,610430,317091,323790,128569.42,57262.23,21625.28,49681.91,105664.36,52234.58,20923.3,32506.49,5708630,4081128,198167.0,85795.0,91895,42913.0,71808
